Flight,Aircraft Type,Month,medAirborne,meddiffAirborne,sdAirborne,sddiffAirborne
620,A359,3,164,-7,1,8.185352772
620,A359,5,164.5,-8.5,2.380476143,3.862210075
620,A359,6,174,-9,2,3.464101615
620,A359,9,168,-4,1.414213562,0
620,A359,10,170,-2,2.309401077,5.507570547
620,A359,11,168,-13,2.081665999,9.073771726
620,A359,12,170,3,4.358898944,8.185352772
620,B77W,3,165.5,-0.5,3.535533906,0.707106781
620,B77W,6,174,-9,3.511884584,7.810249676
620,B77W,7,167.5,-12.5,6.363961031,0.707106781
620,B77W,11,166.5,-5,0.707106781,1.414213562
621,A359,3,178.5,14.5,3.535533906,2.121320344
621,A359,5,171,12,2.828427125,1.673320053
621,A359,6,164,7,3.605551275,3.055050463
621,A359,10,169,7,3.511884584,3.511884584
621,A359,11,172,7,2,3.214550254
621,A359,12,173,10,4.041451884,3.055050463
621,B77W,3,170,5.5,0,2.121320344
621,B77W,6,165,5,1.154700538,1.154700538
621,B77W,7,166.5,5,0.707106781,2.828427125
621,B77W,11,167.5,8,0.707106781,2.828427125
624,A359,3,162,-11,2.828427125,2.828427125
624,A359,4,164.5,-6.5,1.471960144,3.777124126
624,A359,5,165,-9,2.516611478,5.859465277
624,A359,6,172,-9,7.274384281,6.5
624,A359,7,170,-8,3.107338983,4.05654478
624,A359,8,173,-3,4.570657402,7.660999223
624,A359,9,169.5,-1,3.224903099,3.600925807
624,A359,10,172,-3,2.875388173,6.782329983
624,A359,11,169,-2,3.716116765,11.24616337
624,A359,12,167,-25,1.949358869,15.64288976
624,B77W,3,167,3,3.391164992,4.929503018
624,B77W,4,166,-1,1.258305739,4.991659711
624,B77W,5,168.5,3,1.414213562,2.708012802
624,B77W,6,174,0,4.604345773,4.604345773
624,B77W,7,171.5,1.5,3.16227766,8.818541074
624,B77W,8,174,0,5.224940191,3.646916506
624,B77W,9,170.5,0.5,3.380617019,5.154748158
624,B77W,10,170,-1.5,4.210376792,4.895885719
624,B77W,11,166.5,-1,3.490174592,11.12590285
624,B77W,12,166.5,-19.5,3.074824459,12.90524911
625,A359,3,177.5,10,3.304037934,5.560275773
625,A359,4,174.5,12,2.097617696,2.316606714
625,A359,5,172.5,13,1.722401424,2.810693865
625,A359,6,164,13,3.435112807,6.708203932
625,A359,7,170,14,2.381748785,4.610265226
625,A359,8,166,12,3.695205739,4.459922543
625,A359,9,170,10.5,2.20389266,3.422613872
625,A359,10,168,9,1.864454471,2.360387377
625,A359,11,171,6.5,1.690308509,1.690308509
625,A359,12,173,8,3.095695937,2.986078811
625,B77W,3,169,8,1.329160136,2.228601953
625,B77W,4,170,8.5,2.217355783,4.69041576
625,B77W,5,166.5,9,2.160246899,2.217355783
625,B77W,6,163.5,6,6.800735254,1.632993162
625,B77W,7,164.5,7.5,2.160246899,3.710345896
625,B77W,8,163,7,4.037325848,3.049590136
625,B77W,9,165.5,9,2.167124494,3.150963571
625,B77W,10,165,4,1.874873733,5.017393987
625,B77W,11,168,7,2.401922307,3.150091574
625,B77W,12,169,7,3.833054616,3.158220856
